Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
I am interested in learning more of an specific technology. 	* If you are interested in learning more of an specific technology, you can either opt for online, in-house or external training.\n\nWith online you will be fully autonomous and you can decide on the pace that best fits your current availability. Our online training platform is SafariBooksOnline. If you don’t have an account yet, please send us an email to [UK.TEC.Training@everis.com](mailto:UK.TEC.Training@everis.com "mailto:uk.tec.training@everis.com") to request yours.\n\nIn-house trainings are available on a scheduled limited basis. You can find the training catalogue per each T&AS Line of Service (DAR, DNA, DEX, SAL) by [clicking this link](https://extranet.everis.com/sites/technology/CommunityDocuments/Forms/,DanaInfo=communitieswe.everis.com+AllItems.aspx?RootFolder=%2fsites%2ftechnology%2fCommunityDocuments%2fTraining%2fUK&FolderCTID=0x010100EC124370D330457F8AE8E5EC56DD1FE300F8EAE59968028E44B0820C7E19379DD0 "https://extranet.everis.com/sites/technology/communitydocuments/forms/,danainfo=communitieswe.everis.com+allitems.aspx?rootfolder=%2fsites%2ftechnology%2fcommunitydocuments%2ftraining%2fuk&folderctid=0x010100ec124370d330457f8ae8e5ec56dd1fe300f8eae59968028e44b0820c7e19379dd0"), while the calendar of incoming trainings in UK is published in the tabs "*Incoming Events*" and "*Calendar*" of this Teams group.\n\nIf you find a course that suits your expectations, please register in here or by writing us an email to the above UK TEC Training email address.\n\nIf you don’t find any suitable internal course, you may opt in for external certification courses/exams, depending on whether that technology and their training paths are currently being promoted by your Line of Service. If you are unsure about this last, please speak with your responsible managers or write us an email.	Editorial		[]	false	[]	2
Which are the available training resources?	* If you are interested in learning more of an specific technology, you can either opt for online, in-house or external training.\n\nWith online you will be fully autonomous and you can decide on the pace that best fits your current availability. Our online training platform is SafariBooksOnline. If you don’t have an account yet, please send us an email to [UK.TEC.Training@everis.com](mailto:UK.TEC.Training@everis.com "mailto:uk.tec.training@everis.com") to request yours.\n\nIn-house trainings are available on a scheduled limited basis. You can find the training catalogue per each T&AS Line of Service (DAR, DNA, DEX, SAL) by [clicking this link](https://extranet.everis.com/sites/technology/CommunityDocuments/Forms/,DanaInfo=communitieswe.everis.com+AllItems.aspx?RootFolder=%2fsites%2ftechnology%2fCommunityDocuments%2fTraining%2fUK&FolderCTID=0x010100EC124370D330457F8AE8E5EC56DD1FE300F8EAE59968028E44B0820C7E19379DD0 "https://extranet.everis.com/sites/technology/communitydocuments/forms/,danainfo=communitieswe.everis.com+allitems.aspx?rootfolder=%2fsites%2ftechnology%2fcommunitydocuments%2ftraining%2fuk&folderctid=0x010100ec124370d330457f8ae8e5ec56dd1fe300f8eae59968028e44b0820c7e19379dd0"), while the calendar of incoming trainings in UK is published in the tabs "*Incoming Events*" and "*Calendar*" of this Teams group.\n\nIf you find a course that suits your expectations, please register in here or by writing us an email to the above UK TEC Training email address.\n\nIf you don’t find any suitable internal course, you may opt in for external certification courses/exams, depending on whether that technology and their training paths are currently being promoted by your Line of Service. If you are unsure about this last, please speak with your responsible managers or write us an email.	Editorial		[]	false	[]	2
Available training?	* If you are interested in learning more of an specific technology, you can either opt for online, in-house or external training.\n\nWith online you will be fully autonomous and you can decide on the pace that best fits your current availability. Our online training platform is SafariBooksOnline. If you don’t have an account yet, please send us an email to [UK.TEC.Training@everis.com](mailto:UK.TEC.Training@everis.com "mailto:uk.tec.training@everis.com") to request yours.\n\nIn-house trainings are available on a scheduled limited basis. You can find the training catalogue per each T&AS Line of Service (DAR, DNA, DEX, SAL) by [clicking this link](https://extranet.everis.com/sites/technology/CommunityDocuments/Forms/,DanaInfo=communitieswe.everis.com+AllItems.aspx?RootFolder=%2fsites%2ftechnology%2fCommunityDocuments%2fTraining%2fUK&FolderCTID=0x010100EC124370D330457F8AE8E5EC56DD1FE300F8EAE59968028E44B0820C7E19379DD0 "https://extranet.everis.com/sites/technology/communitydocuments/forms/,danainfo=communitieswe.everis.com+allitems.aspx?rootfolder=%2fsites%2ftechnology%2fcommunitydocuments%2ftraining%2fuk&folderctid=0x010100ec124370d330457f8ae8e5ec56dd1fe300f8eae59968028e44b0820c7e19379dd0"), while the calendar of incoming trainings in UK is published in the tabs "*Incoming Events*" and "*Calendar*" of this Teams group.\n\nIf you find a course that suits your expectations, please register in here or by writing us an email to the above UK TEC Training email address.\n\nIf you don’t find any suitable internal course, you may opt in for external certification courses/exams, depending on whether that technology and their training paths are currently being promoted by your Line of Service. If you are unsure about this last, please speak with your responsible managers or write us an email.	Editorial		[]	false	[]	2
Does your company offer trainings?	* If you are interested in learning more of an specific technology, you can either opt for online, in-house or external training.\n\nWith online you will be fully autonomous and you can decide on the pace that best fits your current availability. Our online training platform is SafariBooksOnline. If you don’t have an account yet, please send us an email to [UK.TEC.Training@everis.com](mailto:UK.TEC.Training@everis.com "mailto:uk.tec.training@everis.com") to request yours.\n\nIn-house trainings are available on a scheduled limited basis. You can find the training catalogue per each T&AS Line of Service (DAR, DNA, DEX, SAL) by [clicking this link](https://extranet.everis.com/sites/technology/CommunityDocuments/Forms/,DanaInfo=communitieswe.everis.com+AllItems.aspx?RootFolder=%2fsites%2ftechnology%2fCommunityDocuments%2fTraining%2fUK&FolderCTID=0x010100EC124370D330457F8AE8E5EC56DD1FE300F8EAE59968028E44B0820C7E19379DD0 "https://extranet.everis.com/sites/technology/communitydocuments/forms/,danainfo=communitieswe.everis.com+allitems.aspx?rootfolder=%2fsites%2ftechnology%2fcommunitydocuments%2ftraining%2fuk&folderctid=0x010100ec124370d330457f8ae8e5ec56dd1fe300f8eae59968028e44b0820c7e19379dd0"), while the calendar of incoming trainings in UK is published in the tabs "*Incoming Events*" and "*Calendar*" of this Teams group.\n\nIf you find a course that suits your expectations, please register in here or by writing us an email to the above UK TEC Training email address.\n\nIf you don’t find any suitable internal course, you may opt in for external certification courses/exams, depending on whether that technology and their training paths are currently being promoted by your Line of Service. If you are unsure about this last, please speak with your responsible managers or write us an email.	Editorial		[]	false	[]	2
Does Everis offer trainings	* If you are interested in learning more of an specific technology, you can either opt for online, in-house or external training.\n\nWith online you will be fully autonomous and you can decide on the pace that best fits your current availability. Our online training platform is SafariBooksOnline. If you don’t have an account yet, please send us an email to [UK.TEC.Training@everis.com](mailto:UK.TEC.Training@everis.com "mailto:uk.tec.training@everis.com") to request yours.\n\nIn-house trainings are available on a scheduled limited basis. You can find the training catalogue per each T&AS Line of Service (DAR, DNA, DEX, SAL) by [clicking this link](https://extranet.everis.com/sites/technology/CommunityDocuments/Forms/,DanaInfo=communitieswe.everis.com+AllItems.aspx?RootFolder=%2fsites%2ftechnology%2fCommunityDocuments%2fTraining%2fUK&FolderCTID=0x010100EC124370D330457F8AE8E5EC56DD1FE300F8EAE59968028E44B0820C7E19379DD0 "https://extranet.everis.com/sites/technology/communitydocuments/forms/,danainfo=communitieswe.everis.com+allitems.aspx?rootfolder=%2fsites%2ftechnology%2fcommunitydocuments%2ftraining%2fuk&folderctid=0x010100ec124370d330457f8ae8e5ec56dd1fe300f8eae59968028e44b0820c7e19379dd0"), while the calendar of incoming trainings in UK is published in the tabs "*Incoming Events*" and "*Calendar*" of this Teams group.\n\nIf you find a course that suits your expectations, please register in here or by writing us an email to the above UK TEC Training email address.\n\nIf you don’t find any suitable internal course, you may opt in for external certification courses/exams, depending on whether that technology and their training paths are currently being promoted by your Line of Service. If you are unsure about this last, please speak with your responsible managers or write us an email.	Editorial		[]	false	[]	2
I'd like to know something about specific technologies	* If you are interested in learning more of an specific technology, you can either opt for online, in-house or external training.\n\nWith online you will be fully autonomous and you can decide on the pace that best fits your current availability. Our online training platform is SafariBooksOnline. If you don’t have an account yet, please send us an email to [UK.TEC.Training@everis.com](mailto:UK.TEC.Training@everis.com "mailto:uk.tec.training@everis.com") to request yours.\n\nIn-house trainings are available on a scheduled limited basis. You can find the training catalogue per each T&AS Line of Service (DAR, DNA, DEX, SAL) by [clicking this link](https://extranet.everis.com/sites/technology/CommunityDocuments/Forms/,DanaInfo=communitieswe.everis.com+AllItems.aspx?RootFolder=%2fsites%2ftechnology%2fCommunityDocuments%2fTraining%2fUK&FolderCTID=0x010100EC124370D330457F8AE8E5EC56DD1FE300F8EAE59968028E44B0820C7E19379DD0 "https://extranet.everis.com/sites/technology/communitydocuments/forms/,danainfo=communitieswe.everis.com+allitems.aspx?rootfolder=%2fsites%2ftechnology%2fcommunitydocuments%2ftraining%2fuk&folderctid=0x010100ec124370d330457f8ae8e5ec56dd1fe300f8eae59968028e44b0820c7e19379dd0"), while the calendar of incoming trainings in UK is published in the tabs "*Incoming Events*" and "*Calendar*" of this Teams group.\n\nIf you find a course that suits your expectations, please register in here or by writing us an email to the above UK TEC Training email address.\n\nIf you don’t find any suitable internal course, you may opt in for external certification courses/exams, depending on whether that technology and their training paths are currently being promoted by your Line of Service. If you are unsure about this last, please speak with your responsible managers or write us an email.	Editorial		[]	false	[]	2
I want to know informations about training resources	* If you are interested in learning more of an specific technology, you can either opt for online, in-house or external training.\n\nWith online you will be fully autonomous and you can decide on the pace that best fits your current availability. Our online training platform is SafariBooksOnline. If you don’t have an account yet, please send us an email to [UK.TEC.Training@everis.com](mailto:UK.TEC.Training@everis.com "mailto:uk.tec.training@everis.com") to request yours.\n\nIn-house trainings are available on a scheduled limited basis. You can find the training catalogue per each T&AS Line of Service (DAR, DNA, DEX, SAL) by [clicking this link](https://extranet.everis.com/sites/technology/CommunityDocuments/Forms/,DanaInfo=communitieswe.everis.com+AllItems.aspx?RootFolder=%2fsites%2ftechnology%2fCommunityDocuments%2fTraining%2fUK&FolderCTID=0x010100EC124370D330457F8AE8E5EC56DD1FE300F8EAE59968028E44B0820C7E19379DD0 "https://extranet.everis.com/sites/technology/communitydocuments/forms/,danainfo=communitieswe.everis.com+allitems.aspx?rootfolder=%2fsites%2ftechnology%2fcommunitydocuments%2ftraining%2fuk&folderctid=0x010100ec124370d330457f8ae8e5ec56dd1fe300f8eae59968028e44b0820c7e19379dd0"), while the calendar of incoming trainings in UK is published in the tabs "*Incoming Events*" and "*Calendar*" of this Teams group.\n\nIf you find a course that suits your expectations, please register in here or by writing us an email to the above UK TEC Training email address.\n\nIf you don’t find any suitable internal course, you may opt in for external certification courses/exams, depending on whether that technology and their training paths are currently being promoted by your Line of Service. If you are unsure about this last, please speak with your responsible managers or write us an email.	Editorial		[]	false	[]	2
Tell me about training resources offered by your company	* If you are interested in learning more of an specific technology, you can either opt for online, in-house or external training.\n\nWith online you will be fully autonomous and you can decide on the pace that best fits your current availability. Our online training platform is SafariBooksOnline. If you don’t have an account yet, please send us an email to [UK.TEC.Training@everis.com](mailto:UK.TEC.Training@everis.com "mailto:uk.tec.training@everis.com") to request yours.\n\nIn-house trainings are available on a scheduled limited basis. You can find the training catalogue per each T&AS Line of Service (DAR, DNA, DEX, SAL) by [clicking this link](https://extranet.everis.com/sites/technology/CommunityDocuments/Forms/,DanaInfo=communitieswe.everis.com+AllItems.aspx?RootFolder=%2fsites%2ftechnology%2fCommunityDocuments%2fTraining%2fUK&FolderCTID=0x010100EC124370D330457F8AE8E5EC56DD1FE300F8EAE59968028E44B0820C7E19379DD0 "https://extranet.everis.com/sites/technology/communitydocuments/forms/,danainfo=communitieswe.everis.com+allitems.aspx?rootfolder=%2fsites%2ftechnology%2fcommunitydocuments%2ftraining%2fuk&folderctid=0x010100ec124370d330457f8ae8e5ec56dd1fe300f8eae59968028e44b0820c7e19379dd0"), while the calendar of incoming trainings in UK is published in the tabs "*Incoming Events*" and "*Calendar*" of this Teams group.\n\nIf you find a course that suits your expectations, please register in here or by writing us an email to the above UK TEC Training email address.\n\nIf you don’t find any suitable internal course, you may opt in for external certification courses/exams, depending on whether that technology and their training paths are currently being promoted by your Line of Service. If you are unsure about this last, please speak with your responsible managers or write us an email.	Editorial		[]	false	[]	2
Could you tell me something about learning specific technologies offered by Everis?	* If you are interested in learning more of an specific technology, you can either opt for online, in-house or external training.\n\nWith online you will be fully autonomous and you can decide on the pace that best fits your current availability. Our online training platform is SafariBooksOnline. If you don’t have an account yet, please send us an email to [UK.TEC.Training@everis.com](mailto:UK.TEC.Training@everis.com "mailto:uk.tec.training@everis.com") to request yours.\n\nIn-house trainings are available on a scheduled limited basis. You can find the training catalogue per each T&AS Line of Service (DAR, DNA, DEX, SAL) by [clicking this link](https://extranet.everis.com/sites/technology/CommunityDocuments/Forms/,DanaInfo=communitieswe.everis.com+AllItems.aspx?RootFolder=%2fsites%2ftechnology%2fCommunityDocuments%2fTraining%2fUK&FolderCTID=0x010100EC124370D330457F8AE8E5EC56DD1FE300F8EAE59968028E44B0820C7E19379DD0 "https://extranet.everis.com/sites/technology/communitydocuments/forms/,danainfo=communitieswe.everis.com+allitems.aspx?rootfolder=%2fsites%2ftechnology%2fcommunitydocuments%2ftraining%2fuk&folderctid=0x010100ec124370d330457f8ae8e5ec56dd1fe300f8eae59968028e44b0820c7e19379dd0"), while the calendar of incoming trainings in UK is published in the tabs "*Incoming Events*" and "*Calendar*" of this Teams group.\n\nIf you find a course that suits your expectations, please register in here or by writing us an email to the above UK TEC Training email address.\n\nIf you don’t find any suitable internal course, you may opt in for external certification courses/exams, depending on whether that technology and their training paths are currently being promoted by your Line of Service. If you are unsure about this last, please speak with your responsible managers or write us an email.	Editorial		[]	false	[]	2
Trainings about specific technologies?	* If you are interested in learning more of an specific technology, you can either opt for online, in-house or external training.\n\nWith online you will be fully autonomous and you can decide on the pace that best fits your current availability. Our online training platform is SafariBooksOnline. If you don’t have an account yet, please send us an email to [UK.TEC.Training@everis.com](mailto:UK.TEC.Training@everis.com "mailto:uk.tec.training@everis.com") to request yours.\n\nIn-house trainings are available on a scheduled limited basis. You can find the training catalogue per each T&AS Line of Service (DAR, DNA, DEX, SAL) by [clicking this link](https://extranet.everis.com/sites/technology/CommunityDocuments/Forms/,DanaInfo=communitieswe.everis.com+AllItems.aspx?RootFolder=%2fsites%2ftechnology%2fCommunityDocuments%2fTraining%2fUK&FolderCTID=0x010100EC124370D330457F8AE8E5EC56DD1FE300F8EAE59968028E44B0820C7E19379DD0 "https://extranet.everis.com/sites/technology/communitydocuments/forms/,danainfo=communitieswe.everis.com+allitems.aspx?rootfolder=%2fsites%2ftechnology%2fcommunitydocuments%2ftraining%2fuk&folderctid=0x010100ec124370d330457f8ae8e5ec56dd1fe300f8eae59968028e44b0820c7e19379dd0"), while the calendar of incoming trainings in UK is published in the tabs "*Incoming Events*" and "*Calendar*" of this Teams group.\n\nIf you find a course that suits your expectations, please register in here or by writing us an email to the above UK TEC Training email address.\n\nIf you don’t find any suitable internal course, you may opt in for external certification courses/exams, depending on whether that technology and their training paths are currently being promoted by your Line of Service. If you are unsure about this last, please speak with your responsible managers or write us an email.	Editorial		[]	false	[]	2
